Time	Magnitude	Latitude	Longitude	Depth
2008.255082	5.52	-15.323	-172.72	51.6
2008.265447	5.78	-20.001	168.553	30
2008.265817	5.5	12.653	143.864	15
2008.274159	5.53	16.107	145.06	15
2008.27658	7.1	-55.598	158.612	16
2008.277531	5.54	-14.743	67.047	10
2008.285085	6.15	13.467	-90.796	33
2008.286723	5.7	-18.647	-175.715	22.7
2008.28736	6.45	51.826	-179.32	22.5
2008.288409	5.69	0.848	126.173	15
2008.292157	5.55	15.863	144.93	15
2008.295367	5.77	-27.715	-176.281	35
2008.296054	6.08	-7.809	125.72	15
2008.308747	5.98	22.882	121.78	18.3
2008.310774	6.47	-1.191	-23.597	15
2008.317543	5.94	-49.058	164.306	15
2008.319255	5.63	-35.527	-16.706	15.1
2008.320341	5.84	17.861	-100.083	61.8
2008.32215	6.07	-58.713	-24.92	15
2008.323686	5.77	41.45	142.119	55.4
2008.331458	6.6	51.823	-177.55	14
2008.336189	5.71	-6.675	155.11	36.3
2008.346798	6.19	36.186	141.634	33
2008.35543	5.65	23.943	122.585	30
2008.359396	7.91	30.98	103.396	10
2008.36662	5.72	-56.842	-142.241	10
2008.368514	5.94	-58.015	-25.617	50
2008.376488	5.71	-3.151	101.361	32
2008.378197	5.94	-47.774	31.944	10
2008.379471	6.02	1.644	99.069	16.7
2008.382303	5.58	-44.529	-78.044	15
2008.39101	6.48	7.342	-34.938	10
2008.39372	5.87	4.445	-73.659	10
2008.396453	5.89	55.947	-153.726	7.9
2008.398702	5.56	8.333	-83.007	10
2008.400394	5.85	-56.657	147.46	10.6
2008.401034	5.67	13.595	-91.069	30
2008.407001	6.29	63.941	-21.12	10
2008.408787	5.77	30.785	141.67	15
2008.409165	5.67	-54.815	0.938	10
2008.411206	6.41	-41.317	80.435	9.3
2008.413332	5.79	-28.823	-112.07	10
2008.413639	6.34	20.143	121.403	31
